ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13870703,JJ297784,06/16/2025 11:30:00 PM,004XX E 33RD ST,0820,THEFT,$500 AND UNDER,STREET,False,False,211.0,2.0,4.0,35.0,06,1179504.0,1883151.0,2025.0,03/14/2026 03:41:39 PM,41.834650079,-87.616847182,"(41.834650079, -87.616847182)"
12971250,JG138670,02/01/2023 12:00:00 PM,016XX W 108TH PL,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,2212.0,22.0,19.0,75.0,06,1167493.0,1832774.0,2023.0,08/19/2023 03:40:26 PM,41.696675418,-87.662360559,"(41.696675418, -87.662360559)"
13659220,JH498690,11/07/2024 09:20:00 AM,081XX S ADA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,613.0,6.0,17.0,71.0,14,1168744.0,1850783.0,2024.0,11/02/2025 03:41:09 PM,41.746067993,-87.657262311,"(41.746067993, -87.657262311)"
13808190,JJ221004,04/16/2025 05:30:00 PM,022XX N CLYBOURN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,False,False,1811.0,18.0,32.0,7.0,11,1165715.0,1915288.0,2025.0,03/14/2026 03:41:39 PM,41.923141058,-87.666526442,"(41.923141058, -87.666526442)"
13650526,JH492223,10/31/2024 10:30:00 PM,025XX W COLUMBUS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,835.0,8.0,18.0,66.0,07,1160615.0,1854836.0,2024.0,11/02/2025 03:41:09 PM,41.757361447,-87.686937269,"(41.757361447, -87.686937269)"
13468416,JH273438,05/21/2024 10:07:00 PM,043XX N CENTRAL AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,1624.0,16.0,45.0,15.0,26,1138230.0,1928257.0,2024.0,05/17/2025 03:40:52 PM,41.959271387,-87.767202257,"(41.959271387, -87.767202257)"
13853192,JJ276155,05/31/2025 02:00:00 AM,008XX N HOYNE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1212.0,12.0,36.0,24.0,05,1162247.0,1905788.0,2025.0,03/14/2026 03:41:39 PM,41.897145664,-87.679535132,"(41.897145664, -87.679535132)"
13202897,JG414973,09/07/2023 12:13:00 PM,006XX S LAFLIN ST,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,False,False,1231.0,12.0,28.0,28.0,06,1166486.0,1897250.0,2023.0,09/15/2023 03:42:23 PM,41.873627047,-87.664210451,"(41.873627047, -87.664210451)"
13545935,JH366726,07/29/2024 12:54:00 PM,009XX N WOOD ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,False,False,1213.0,12.0,1.0,24.0,11,1164222.0,1906436.0,2024.0,05/17/2025 03:40:52 PM,41.898882295,-87.672262913,"(41.898882295, -87.672262913)"
13357749,JH139346,02/03/2024 11:00:00 PM,031XX W 25TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,False,True,1033.0,10.0,25.0,30.0,08B,1155661.0,1887226.0,2024.0,12/21/2024 03:40:46 PM,41.846344781,-87.704224304,"(41.846344781, -87.704224304)"
13343605,JH122344,01/20/2024 08:00:00 PM,010XX N LEAMINGTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1531.0,15.0,37.0,25.0,14,1141836.0,1906500.0,2024.0,12/21/2024 03:40:46 PM,41.899501827,-87.754484904,"(41.899501827, -87.754484904)"
13328495,JH104142,01/04/2024 11:28:00 AM,044XX N MANGO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1622.0,16.0,38.0,15.0,08B,1137209.0,1929005.0,2024.0,12/21/2024 03:40:46 PM,41.961342419,-87.770937897,"(41.961342419, -87.770937897)"
13931764,JJ371581,08/12/2025 06:30:00 AM,051XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,934.0,9.0,20.0,61.0,08B,1170512.0,1870920.0,2025.0,03/14/2026 03:41:39 PM,41.801288067,-87.650197877,"(41.801288067, -87.650197877)"
